measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,"Southeast Asia, East Asia, and Oceania",Male,All ages,Ischemic heart disease,Number,1990,428325.8718718535,482397.041004413,378834.54043575696
Deaths,"Southeast Asia, East Asia, and Oceania",Female,All ages,Ischemic heart disease,Number,1990,399278.0089328612,457475.3740883904,352033.5924164294
Deaths,"Southeast Asia, East Asia, and Oceania",Both,All ages,Ischemic heart disease,Number,1990,827603.880804714,906787.5229633865,752722.6446282002
Deaths,"Southeast Asia, East Asia, and Oceania",Male,All ages,Ischemic heart disease,Rate,1990,49.713913404100296,55.98971787084232,43.96967069815464
Deaths,"Southeast Asia, East Asia, and Oceania",Female,All ages,Ischemic heart disease,Rate,1990,48.22691587338875,55.25630234250572,42.5204846403869
Deaths,"Southeast Asia, East Asia, and Oceania",Both,All ages,Ischemic heart disease,Rate,1990,48.98523015951523,53.67204836563541,44.5530680179253
Deaths,"Southeast Asia, East Asia, and Oceania",Male,Age-standardized,Ischemic heart disease,Rate,1990,109.93553778792042,122.88771321699679,97.25036038666421
Deaths,"Southeast Asia, East Asia, and Oceania",Female,Age-standardized,Ischemic heart disease,Rate,1990,87.54856325041642,100.50419317841717,76.72044829769473
Deaths,"Southeast Asia, East Asia, and Oceania",Both,Age-standardized,Ischemic heart disease,Rate,1990,97.15288834651842,106.52826940711707,87.95735824251138
Deaths,North Africa and Middle East,Male,All ages,Diabetes mellitus type 2,Number,1990,14845.860933644273,18241.517482051684,13108.80440126503
Deaths,North Africa and Middle East,Female,All ages,Diabetes mellitus type 2,Number,1990,18683.026296245607,20848.015199822672,17000.35830925737
Deaths,North Africa and Middle East,Both,All ages,Diabetes mellitus type 2,Number,1990,33528.88722988989,37648.57986509276,30726.605613593598
Deaths,North Africa and Middle East,Male,All ages,Diabetes mellitus type 2,Rate,1990,8.54510417071017,10.49960442258425,7.545274717508516
Deaths,North Africa and Middle East,Female,All ages,Diabetes mellitus type 2,Rate,1990,11.29180155149411,12.600295404296272,10.274816792984094
Deaths,North Africa and Middle East,Both,All ages,Diabetes mellitus type 2,Rate,1990,9.884933260483542,11.099494497588436,9.058769046793946
Deaths,North Africa and Middle East,Male,Age-standardized,Diabetes mellitus type 2,Rate,1990,20.401041944434244,24.809339472732997,17.932870449808735
Deaths,North Africa and Middle East,Female,Age-standardized,Diabetes mellitus type 2,Rate,1990,26.483644486038198,29.40888793267501,23.93324721871069
Deaths,North Africa and Middle East,Both,Age-standardized,Diabetes mellitus type 2,Rate,1990,23.53684252493704,26.45015475141808,21.49117378929688
